goal,sol1,sol2
Mango Float in a Jar,"Crush graham crackers. Peel the mangoes and slice them into strips. sugar, whipped cream and egg whites. Assemble your jar cakes.",Crush graham crackers. Peel the mangoes and slice them into strips. Combine the thick cream and the condensed milk. Assemble your jar cakes.
To delint your couch pillows.,"Using a piece of masking tape with the sticky side outward, slowly brush down the sides of the pillow.","Using a piece of masking tape with the sticky side inward, slowly brush down the sides of the pillow."
Reheat rice,Soak rice in water and and microwave.,Place ice cube on rice and microwave.
to repel bugs,rub dryer sheets on your clothes and keep one in your pocket,rub flannel sheets on your clothes and keep one in your pocket
Baby proof a shopping cart.,Wrap pool noodle around shopping cart bar.,Wrap pool noodle around shopping cart wheels.
How to prevent a padlock from freezing.,"Keep moisture out of key holes, keep lock coated with WD-40 and if needed heat end of key before inserting.","Keep moisture out of key holes, keep lock coated with WD-40 and if needed wet end of key before inserting."
To swipe a card.,"Make sure the magnetic strip is facing the reader, then slide the card up or down the reader slowly.","Make sure the magnetic strip is facing the reader, then slide the card up or down the reader quickly."
how to cut acidic marinara sauce,add sour cream and a bit of honey.,add a few teaspoons of sugar
How to pry pallet apart.,"Using the other end of a hammer, pry apart the log from the pallet to get nails out.","Using a hammer, press the hammer down on the pallet to get the nails out."
What is an easy object to use for the eyes of a squid costume?,Use the shiny side of a pair of cassettes as eyes.,Use the shiny side of a pair of CD's as eyes.
,,
How can I blow up my air mattress with a shop vac?,"If you don’t have an air compressor to inflate your air mattresses or pool toys, you can use your shop vacuum instead, just pop the top off of a plastic squeeze bottle and fit the top to your vacuum’s hose. You may have to use duct tape. Once the top is secured to the hose, attach the hose to your vacuum’s exhaust port. It’ll blow up your inflatables in no time. To deflate, attach the hose to the vacuum port and suck the air out.","If you don’t have an air compressor to inflate your air mattresses or pool toys, you can use your shop vacuum instead, just pop the top off of a plastic squeeze bottle and fit the top to your vacuum’s hose. You may have to use duct tape. Once the top is secured to the hose, attach the hose to your vacuum’s suction port. It’ll blow up your inflatables in no time. To deflate, attach the hose to the vacuum port and suck the air out."
Boil water for a cup of tea using a stove.,"Use a tea kettle, in this case a metal kettle on the stove, fill with a few cups of water.  Place the kettle on the heat and bring to a boil.  Shut the heat off and pour water into a tea cup.","Use a tea kettle, in this case a metal kettle on the stove, fill with a 1/2 cup of water.  Place the kettle on the heat and bring to a boil.  Shut the heat off and pour water into a tea cup.  Fill the kettle with 1/2 cup of water and bring to a boil again."
how do you share your location on the facebook app?,"open the app, and click add a post and type where you are and click post.","open the app, and click on the check in link and click post."
How to make the potion have a pink glare to it?,Use a combination of boiled beets and the residual water and add that to the potion,Use a combination of pink coloring and water and add that to the potion mixture
how do you go home on the instagram app?,click on your profile picture at the bottom right of any page.,click on the house at the bottom left of any page.
How to attach a necklace when you've lost your clasp?,use a paper clip to secure the two ends together,use a binder clip to secure the two ends together
Attract deer and rabbits to your back yard.,"Plant hostas, tulips,  peas, soybeans, turnips, alfalfa, sorghum, kale, or corn.","Plant daffodils, foxglove, poppies, thyme and lavender"
Make flat iron holder.,Fold pot holder into a square.,Roll pot holder into a cylinder.
Prevent balloon from popping easily.,Add a layer of hairspray after blowing up.,Add a layer of hairspray before blowing up.
How to get a ring unstuck from your finger?,Squirt some Windex - yes Windex - on the finger and ring. Use dental floss or string to pull on.,Squirt some Windex - yes Windex - on the finger and ring. Use dental floss or string to pull off.
"To prevent children from locking themselves in a children's bathroom,",tie a string from one knob to another.,leave a baby monitor in the bathroom.
how do you cover the lens of a nikon b500 when it's off?,place the lid on top of it.,place a cloth on top of it.
how do you ask a question on paper?,write a question mark before the question.,write a question mark after the question.
Keep the ducks off the beach.,Put up a no ducks allowed sign on the beach.,Put a dog on the beach.
reed mat,can function as an article of clothing human ,can function as an article of clothing muskrat 
To make stuffed pizza crust,Put cheese on the outer edge of the dough and fold over.,Fold over the outer edge of dough and insert cheese.
One wants to make a musical instrument out of a bottle cap.,One could make a trombone.,One could make a whistle.
Prevent water waste in toilet.,Flush after each use.,Flush only when defecating.
What is a good alternative to sandpaper when removing varnish from wood?,A wood filer would remove varnish safely.,A liquid solvent would remove varnish safely.
handkerchief,can act as patch  on a real person's bed,can act as a comforter on a real person's bed
How do you snuff a candle?,Hold a small convex cup over the top of the flame to strangle it with it's own smoke.,Hold a small concave cup over the top of the flame to strangle it with it's own smoke.
Pay the mortgage payment.,Empty one of the bedrooms and put an ad on Craigslist to have someone come and rent a room from you thus bringing your mortgage payment down.,Work as many hours as you can and save the money to pay the bills.
How to add an additional compartment to your backpack?,Clip on a pocket from an old denim jeans into the backpack.,Sow in a pocket from an old denim jeans into the backpack.
What is the main purpose of a minimalist wallet?,Minimalist wallets are used to mainly carry credit/debit cards and less money.,Minimalist wallets are used to only carry currency notes so that there isn't the added weight of coins.
How to increase the water content of a piece of meat.,"Soak the meat in a solution of salt, sugars, spices for several hours.",Soak the meat in plain tap water for a few minutes.
"To be safe when working with lye, you can",Make sure to measure it outside,Make sure to measure it inside
how do you file down a dogs teeth?,use a nail file on their teeth.,give them a bone to chew on.
Create extra compartment in handbag.,Add a shower bottle for divided storage.,Add a shower cap for divided storage.
Add moisture to air.,Dry wet clothes in dryer.,Hang wet clothes to dry inside home.
ornament,can decorate tree ,can decorate desk  
,,
